Title	computers	powerful	guy	cannot	made	computer	video	sure	self	great	super	power	say	jobs	really	s	reality	look	needs	might	talking	people	makes	intelligent	don	advanced	existence	kill	anyone	planet	like	tell	energy	please	years	technology	want	never	bad	lot	matter	watching	destroy	earth	probably	would	things	much	could	still	robots	understand	human	seems	fact	something	need	re	thing	real	humans	intelligence	first	consciousness	see	must	there	better	that	maybe	get	exist	machines	mind	can	already	even	two	time	corruption	problem	everyone	it	free	artificial	learning	hard	ability	life	able	futuristic	make	world	way	program	wouldn	without	mean	going	beyond	talk	said	ll	machine	know	ever	point	humanity	always	take	become	good	t	information	job	disease	part	stop	new	may	go	think	live	robot	us	give	god	different	isn	making	use	you	believe	everything	wrong	man	creating	system	created	quantum	learn	nothing	well	brains	also	day	around	many	we	every	one	brain
Joe Rogan & Will MacAskill discuss Artificial Intelligence	0	0	1	0	0	1	0	0	1	1	0	0	0	0	2	1	1	2	0	0	1	2	0	2	1	0	2	1	0	0	4	1	0	1	3	0	0	1	1	2	0	0	2	3	1	4	1	3	1	1	0	1	3	0	2	3	1	0	0	0	10	5	1	0	0	1	0	0	0	0	2	0	2	1	0	2	1	0	1	0	1	1	1	2	1	0	1	0	4	1	0	3	0	1	0	0	1	0	0	0	1	0	0	2	1	0	1	0	1	2	1	1	2	0	0	0	0	0	1	0	0	3	2	0	2	2	0	0	0	0	1	0	2	1	0	3	0	0	1	0	0	0	0	0	1	0	3	1	0	1	1	0
What is Artificial Intelligence Exactly?	0	2	0	3	3	0	2	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	2	2	0	2	0	3	0	0	1	0	0	0	1	0	1	0	0	0	0	1	2	4	0	0	1	1	1	1	3	0	0	2	1	1	2	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	5	2	2	0	0	0	4	0	2	2	7	1	6	0	2	1	2	0	0	0	0	2	3	0	0	0	0	3	0	0	2	0	0	3	0	1	1	0	1	2	1	0	9	0	2	0	0	1	2	0	1	0	0	0	1	2	4	0	0	1	1	0	1	0	0	0	1	1	3	0
Artificial Intelligence Tutorial #4: Knowledge Representation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Artificial Intelligence and the future | Andr LeBlanc | TEDxMoncton	0	0	1	0	0	0	1	0	0	0	0	1	3	0	1	4	1	0	0	0	1	3	1	0	1	0	0	1	0	0	4	0	0	2	2	0	1	1	0	2	0	0	0	1	0	3	2	0	0	1	0	0	1	1	0	1	2	1	1	0	0	2	0	0	0	1	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	2	0	0	1	0	1	0	2	1	0	0	2	1	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0
Brian Cox presents Science Matters - Machine Learning and Artificial intelligence	1	0	0	0	2	5	0	2	2	2	0	6	3	1	2	8	0	1	2	6	2	8	0	0	3	1	0	0	2	0	10	1	0	1	4	2	0	3	0	2	2	1	0	0	1	18	3	3	4	2	0	2	4	2	3	3	3	2	0	5	5	4	1	0	2	1	0	2	0	2	4	0	1	1	0	1	10	0	4	0	4	0	6	0	1	4	1	1	2	4	0	4	4	3	0	4	1	0	1	2	4	2	0	4	1	1	4	1	1	2	2	1	10	2	2	0	0	3	1	3	3	5	0	0	4	3	0	0	1	0	0	1	1	0	1	1	0	3	0	0	2	4	1	0	6	1	3	1	1	0	6	0
Facebook's Artificial Intelligence Research	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
What happens when our computers get smarter than we are? | Nick Bostrom	3	0	1	0	2	2	0	2	3	0	4	0	0	0	0	6	0	0	2	0	0	2	0	2	1	0	0	1	1	2	2	1	0	0	1	0	3	0	0	0	1	0	2	0	0	6	2	2	2	0	0	1	4	0	1	1	6	0	1	1	7	3	1	0	0	2	0	1	2	4	1	3	0	1	0	1	3	1	0	0	0	0	5	3	1	0	2	0	9	1	0	2	3	0	2	0	1	0	0	2	0	0	1	3	2	1	0	1	0	0	0	2	2	0	0	0	0	3	2	0	2	5	0	0	4	3	0	6	1	2	0	0	3	0	0	1	0	0	1	0	2	1	1	0	0	0	0	2	2	0	0	0
How Will Artificial Intelligence Affect Your Life | Jeff Dean | TEDxLA	0	2	1	2	2	0	1	0	3	0	0	0	1	0	0	1	1	2	0	1	1	0	0	0	1	3	0	0	0	3	1	0	0	2	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	1	2	2	0	0	4	0	0	3	0	0	1	0	0	3	1	2	0	1	0	2	0	0	0	1	2	2	0	0	3	0	2	1	7	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	2	0	4	0	0	2	1	0	0	2	1	1	1	0	7	0	0	1	1	0	1	0	1	0	0	0	2	2	3	0	1	0	1	0	0	0	2	0	0	0	4	1
John Searle: "Consciousness in Artificial Intelligence" | Talks at Google	3	0	0	2	1	1	0	0	11	0	0	0	2	0	2	13	2	2	1	4	0	1	4	1	3	1	2	0	0	0	6	0	0	0	2	0	4	2	0	0	0	0	0	0	1	11	0	1	5	3	0	3	6	2	2	1	3	1	0	3	3	2	5	16	1	4	0	2	2	0	1	2	2	0	2	1	7	3	3	0	0	0	6	0	2	0	3	2	0	1	0	7	0	2	1	0	3	2	0	1	2	2	0	6	6	3	1	0	1	1	3	1	12	5	0	0	4	0	1	3	1	4	0	0	4	2	0	4	4	2	2	0	5	1	0	0	0	2	0	2	5	1	2	2	2	0	1	1	1	1	3	17
Create Artificial Intelligence - EPIC HOW TO	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
Great Debate - Artificial Intelligence: Who is in control? (OFFICIAL) (Part 01)	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
The Developers Of Artificial Intelligence Just Issued This URGENT Warning To ALL OF HUMANITY!	0	0	1	0	3	0	1	0	0	1	0	2	1	0	1	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	3	2	2	1	0	2	0	1	0	0	1	0	0	1	0	1	2	0	0	1	1	1	0	0	0	1	0	0	0	1	3	1	0	1	0	0	0	1	0	3	0	0	0	2	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	1	0	4	0	2	1	0	2	0	0	0	0	1	2	2	1	0	0	1	3	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	2	0	3	0	1	2	0
